Voltage (V),Current (A)
0.02183829,-1.683897e-07
-4.979882,-3.176029e-07
-9.98311,-3.695637e-07
-14.98615,-4.09638e-07
-19.98862,-4.445889e-07
-24.98613,-4.747174e-07
-29.97438,-5.015912e-07
-34.97665,-5.263151e-07
-39.98078,-5.48292e-07
-44.98219,-5.687365e-07
-49.98365,-5.867338e-07
-54.98795,-6.031051e-07
-59.98888,-6.179061e-07
-64.99356,-6.311616e-07
-69.97919,-6.443843e-07
-74.97972,-6.551224e-07
-79.98608,-6.654641e-07
-84.98834,-6.74978e-07
-89.99145,-6.838076e-07
-94.9923,-6.918424e-07
-99.99291,-6.99646e-07
-104.9977,-7.068221e-07
-109.98,-7.129831e-07
-114.9855,-7.192212e-07
-119.9848,-7.242459e-07
-124.9886,-7.294599e-07
-129.993,-7.341391e-07
-134.9939,-7.388501e-07
-139.9974,-7.425289e-07
-144.9805,-7.467007e-07
-149.9864,-7.505546e-07
-154.9865,-7.541582e-07
-159.987,-7.580033e-07
-164.9905,-7.624766e-07
-169.9942,-7.656348e-07
-174.995,-7.701075e-07
-179.9989,-7.73189e-07
-184.983,-7.761546e-07
-189.9869,-7.803822e-07
-194.9893,-7.839707e-07
-199.9908,-7.874931e-07
-204.9946,-7.916117e-07
-209.9962,-7.952276e-07
-215.0005,-7.98526e-07
-220.0031,-8.02512e-07
-224.989,-8.056578e-07
-229.9875,-8.099392e-07
-234.9915,-8.135818e-07
-239.9945,-8.168249e-07
-244.9961,-8.203143e-07
-249.9974,-8.265598e-07
-255.0004,-8.279899e-07
-259.9855,-8.322452e-07
-264.9898,-8.371107e-07
-269.9906,-8.407983e-07
-274.9928,-8.44075e-07
-279.9953,-8.479744e-07
-284.9972,-8.518343e-07
-290.0002,-8.563798e-07
-295.0035,-8.604397e-07
-299.9846,-8.649142e-07
-304.9856,-8.686182e-07
-309.9904,-8.716172e-07
-314.9921,-8.752742e-07
-319.9955,-8.801454e-07
-324.9962,-8.841299e-07
-330.0009,-8.886018e-07
-335.0036,-8.934553e-07
-339.9874,-8.960773e-07
-344.9903,-9.007693e-07
-349.9916,-9.044255e-07
