Voltage (V),Current (A)
0.02076661,-1.723293e-08
-4.981495,-4.389376e-08
-9.984135,-5.731703e-08
-14.98779,-6.864529e-08
-19.99075,-7.686952e-08
-24.98753,-8.228021e-08
-29.97601,-8.694134e-08
-34.97742,-9.159422e-08
-39.98245,-9.551464e-08
-44.98231,-9.965505e-08
-49.98584,-1.032525e-07
-54.98807,-1.069383e-07
-59.99057,-1.0987e-07
-64.99638,-1.13369e-07
-69.9826,-1.180294e-07
-74.98344,-1.23734e-07
-79.98786,-1.305124e-07
-84.99087,-1.37402e-07
-89.99385,-1.448175e-07
-94.99494,-1.534824e-07
-99.99571,-1.623075e-07
-105.0008,-1.718313e-07
-109.984,-1.821055e-07
-114.9872,-1.925086e-07
-119.9878,-2.038897e-07
-124.992,-2.159161e-07
-129.9947,-2.285968e-07
-134.9974,-2.414675e-07
-139.9998,-2.562522e-07
-144.9839,-2.718856e-07
-149.9882,-2.886697e-07
-154.9901,-3.067829e-07
-159.9911,-3.257351e-07
-164.9932,-3.457609e-07
-169.9961,-3.666079e-07
-174.9987,-3.897102e-07
-179.9999,-4.134426e-07
-184.9842,-4.375742e-07
-189.9883,-4.627647e-07
-194.9921,-4.903426e-07
-199.9933,-5.179712e-07
-204.9973,-5.459242e-07
-210.0005,-5.753863e-07
-215.0029,-6.053906e-07
-220.0043,-6.362321e-07
-224.9917,-6.672603e-07
-229.9905,-6.990747e-07
-234.9946,-7.319844e-07
-239.9973,-7.640595e-07
-244.9984,-7.997643e-07
-249.9997,-8.336658e-07
-255.0044,-8.691604e-07
-259.9888,-9.023165e-07
-264.9908,-9.388843e-07
-269.9931,-9.749168e-07
-274.9961,-1.011929e-06
-279.9976,-1.048798e-06
-284.9984,-1.083951e-06
-290.0042,-1.122554e-06
-295.0067,-1.157602e-06
-299.9883,-1.195084e-06
-304.9897,-1.233884e-06
-309.994,-1.272945e-06
-314.9943,-1.309061e-06
-319.9988,-1.348934e-06
-325.0,-1.388737e-06
-330.0038,-1.426756e-06
-335.0063,-1.46669e-06
-339.9919,-1.506488e-06
-344.9937,-1.544705e-06
-349.9948,-1.582263e-06
